,model,parameters,value
0,Pyr_Growth_Glycolysis_C0,kf_SK_f6p_c,6.525865603316036
1,Pyr_Growth_Glycolysis_C0,v_SK_f6p_c,0.06805977502637335
2,Pyr_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
3,Pyr_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
4,Pyr_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
5,Pyr_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
6,Pyr_Growth_Glycolysis_C0,kr_LDH_D1,11756904.974688612
7,Pyr_Growth_Glycolysis_C0,kf_SK_nadh_c,1019.7040963377405
8,Pyr_Growth_Glycolysis_C0,v_SK_g6p_c,0.16684047273751523
9,Pyr_Growth_Glycolysis_C0,kr_PPS6,20522582933.13328
10,Pyr_Growth_Glycolysis_C0,kr_PPS4,3587878689178.755
11,Pyr_Growth_Glycolysis_C0,kr_PPS3,1553296.107639819
12,Pyr_Growth_Glycolysis_C0,kr_PPS2,20698360.821953755
13,Pyr_Growth_Glycolysis_C0,kr_PPS1,758325.8822922768
14,Pyr_Growth_Glycolysis_C0,kr_PYK25,2294308.6623261888
15,Pyr_Growth_Glycolysis_C0,kr_PYK24,2184706.9984986843
16,Pyr_Growth_Glycolysis_C0,kr_PYK23,2490001492653.9653
17,Pyr_Growth_Glycolysis_C0,kr_PPS5,24665635.655600313
18,Pyr_Growth_Glycolysis_C0,v_SK_adp_c,0.038793712902368806
19,Pyr_Growth_Glycolysis_C0,v_SK_atp_c,0.6114110357627915
20,Pyr_Growth_Glycolysis_C0,v_SK_fdp_c,-2.1896155590849448e-17
21,Pyr_Growth_Glycolysis_C0,v_PFK11,0.007940537229043691
22,Pyr_Growth_Glycolysis_C0,v_PGI3,-0.1668404727375153
23,Pyr_Growth_Glycolysis_C0,v_PGI2,-0.16684047273751723
24,Pyr_Growth_Glycolysis_C0,v_PGI1,-0.166840472737519
25,Pyr_Growth_Glycolysis_C0,v_SK_lac__D_c,0.13685470677578235
26,Pyr_Growth_Glycolysis_C0,v_SK_amp_c,0.5726173228604227
27,Pyr_Growth_Glycolysis_C0,v_SK_pyr_c,0.5493686749555826
28,Pyr_Growth_Glycolysis_C0,v_SK_pep_c,0.11133840804514539
29,Pyr_Growth_Glycolysis_C0,v_SK__3pg_c,0.11908713922705955
30,Pyr_Growth_Glycolysis_C0,v_SK_nadh_c,0.31894312768337774
31,Pyr_Growth_Glycolysis_C0,v_SK_nad_c,0.3189431276833776
32,Pyr_Growth_Glycolysis_C0,v_SK_g3p_c,0.005670530397286383
33,Pyr_Growth_Glycolysis_C0,v_SK_dhap_c,-0.009802444117402094
34,Pyr_Growth_Glycolysis_C0,kf_SK_nad_c,38.2722442818026
35,Pyr_Growth_Glycolysis_C0,v_SK_pi_c,0.8702950881545563
36,Pyr_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
37,Pyr_Growth_Glycolysis_C0,v_SK_h_c,0.0
38,Pyr_Growth_Glycolysis_C0,kr_PYK22,784400.6068225263
39,Pyr_Growth_Glycolysis_C0,v_PFK12,0.007940537229043754
40,Pyr_Growth_Glycolysis_C0,kr_PYK21,67923.03779795441
41,Pyr_Growth_Glycolysis_C0,kr_PYK14,3253938184140.41
42,Pyr_Growth_Glycolysis_C0,kr_PGK3,557.3738199079957
43,Pyr_Growth_Glycolysis_C0,kr_PGK2,21139138613.853565
44,Pyr_Growth_Glycolysis_C0,kr_PGK1,17003698564.57849
45,Pyr_Growth_Glycolysis_C0,kr_GAPD6,2386776409852.115
46,Pyr_Growth_Glycolysis_C0,kr_GAPD5,4369676498.550939
47,Pyr_Growth_Glycolysis_C0,kr_GAPD4,2552926324689.6475
48,Pyr_Growth_Glycolysis_C0,kr_GAPD3,3599998084196.6626
49,Pyr_Growth_Glycolysis_C0,kr_PGK4,52376589377.3516
50,Pyr_Growth_Glycolysis_C0,kr_GAPD2,2504032926839.0654
51,Pyr_Growth_Glycolysis_C0,kf_SK_pyr_c,13953.600690385403
52,Pyr_Growth_Glycolysis_C0,kr_TPI3,2262247675887.736
53,Pyr_Growth_Glycolysis_C0,kr_TPI2,41497439021.522446
54,Pyr_Growth_Glycolysis_C0,kr_TPI1,118994724.47344142
55,Pyr_Growth_Glycolysis_C0,kr_FBA24,96992.41444544597
56,Pyr_Growth_Glycolysis_C0,kr_FBA23,114524666756.69626
57,Pyr_Growth_Glycolysis_C0,kr_FBA22,842009537109.9438
58,Pyr_Growth_Glycolysis_C0,kr_GAPD1,89432.930747223
59,Pyr_Growth_Glycolysis_C0,kr_PGK5,45920814.47868228
60,Pyr_Growth_Glycolysis_C0,kr_PGK6,0.16092661342612438
61,Pyr_Growth_Glycolysis_C0,kr_PGK7,4199839.901257909
62,Pyr_Growth_Glycolysis_C0,kr_PYK13,2966384210850.567
63,Pyr_Growth_Glycolysis_C0,kf_SK__3pg_c,241.7564538057457
64,Pyr_Growth_Glycolysis_C0,kr_PYK12,3253938184140.41
65,Pyr_Growth_Glycolysis_C0,kr_PYK11,516572.4995408668
66,Pyr_Growth_Glycolysis_C0,kr_ENO3,54403.62474087332
67,Pyr_Growth_Glycolysis_C0,kr_ENO2,201013096784.6263
