,model,parameters,value
0,Pyr_Growth_Glycolysis_C0,kf_SK_f6p_c,6.525865603316036
1,Pyr_Growth_Glycolysis_C0,v_SK_f6p_c,0.06904986284271765
2,Pyr_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
3,Pyr_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
4,Pyr_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
5,Pyr_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
6,Pyr_Growth_Glycolysis_C0,kr_LDH_D1,11756904.974688612
7,Pyr_Growth_Glycolysis_C0,kf_SK_nadh_c,1019.7040963377405
8,Pyr_Growth_Glycolysis_C0,v_SK_g6p_c,0.16148711706011826
9,Pyr_Growth_Glycolysis_C0,kr_PPS6,20522582933.13328
10,Pyr_Growth_Glycolysis_C0,kr_PPS4,3587878689178.755
11,Pyr_Growth_Glycolysis_C0,kr_PPS3,1553296.107639819
12,Pyr_Growth_Glycolysis_C0,kr_PPS2,20698360.821953755
13,Pyr_Growth_Glycolysis_C0,kr_PPS1,758325.8822922768
14,Pyr_Growth_Glycolysis_C0,kr_PYK25,2294308.6623261888
15,Pyr_Growth_Glycolysis_C0,kr_PYK24,2184706.9984986843
16,Pyr_Growth_Glycolysis_C0,kr_PYK23,2490001492653.9653
17,Pyr_Growth_Glycolysis_C0,kr_PPS5,24665635.655600313
18,Pyr_Growth_Glycolysis_C0,v_SK_adp_c,0.04409783349636872
19,Pyr_Growth_Glycolysis_C0,v_SK_atp_c,0.6111364565770225
20,Pyr_Growth_Glycolysis_C0,v_SK_fdp_c,-1.8346752291341873e-17
21,Pyr_Growth_Glycolysis_C0,v_PFK11,0.0023280000343831662
22,Pyr_Growth_Glycolysis_C0,v_PGI3,-0.1614871170601183
23,Pyr_Growth_Glycolysis_C0,v_PGI2,-0.16148711706011554
24,Pyr_Growth_Glycolysis_C0,v_PGI1,-0.1614871170601262
25,Pyr_Growth_Glycolysis_C0,v_SK_lac__D_c,0.1372911535625108
26,Pyr_Growth_Glycolysis_C0,v_SK_amp_c,0.5670386230806538
27,Pyr_Growth_Glycolysis_C0,v_SK_pyr_c,0.5569169077927617
28,Pyr_Growth_Glycolysis_C0,v_SK_pep_c,0.1193585507008675
29,Pyr_Growth_Glycolysis_C0,v_SK__3pg_c,0.12325262887195544
30,Pyr_Growth_Glycolysis_C0,v_SK_nadh_c,0.3143057282199389
31,Pyr_Growth_Glycolysis_C0,v_SK_nad_c,0.31430572821993896
32,Pyr_Growth_Glycolysis_C0,v_SK_g3p_c,0.0034846205590018785
33,Pyr_Growth_Glycolysis_C0,v_SK_dhap_c,-0.004375313218371207
34,Pyr_Growth_Glycolysis_C0,kf_SK_nad_c,38.2722442818026
35,Pyr_Growth_Glycolysis_C0,v_SK_pi_c,0.8509865796448257
36,Pyr_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
